Ticker;SimFinId;Currency;"Fiscal Year";"Fiscal Period";"Report Date";"Publish Date";"Shares (Basic)";"Shares (Diluted)";"Net Income/Starting Line";"Depreciation & Amortization";"Provision for Loan Losses";"Non-Cash Items";"Change in Working Capital";"Net Cash from Operating Activities";"Change in Fixed Assets & Intangibles";"Net Change in Loans & Interbank";"Net Cash from Acquisitions & Divestitures";"Net Cash from Investing Activities";"Dividends Paid";"Cash from (Repayment of) Debt";"Cash from (Repurchase of) Equity";"Net Cash from Financing Activities";"Effect of Foreign Exchange Rates";"Net Change in Cash"
NTRS;407194;USD;2017;Q2;2017-06-30;2017-07-27;229196531;230637823;267900000;55400000;-7000000;84200000;-872600000;-472100000;-25800000;-2051200000;;-1324500000;-108000000;318900000;-124500000;2891700000;-49500000;1045600000
NTRS;407194;USD;2017;Q3;2017-09-30;2017-10-26;228010866;229313645;298400000;62400000;-7000000;78400000;124900000;557100000;-23600000;-4255300000;;-5667700000;-92800000;2024900000;-112000000;4632500000;46200000;-431900000
NTRS;407194;USD;2017;Q4;2017-12-31;2018-02-27;226763719;228035260;356600000;55200000;-13000000;-6900000;458800000;850700000;-27900000;-5497800000;;-8055900000;-113000000;-200400000;-145700000;6436100000;24300000;-744800000
NTRS;407194;USD;2018;Q1;2018-03-31;2018-05-04;225681167;227047519;381600000;67900000;-3000000;11900000;-936200000;-477800000;-6000000;13530700000;;11156200000;-100900000;996000000;-244100000;-9167200000;52100000;1563300000
NTRS;407194;USD;2018;Q2;2018-06-30;2018-07-30;224207590;225611397;390400000;55000000;1500000;85500000;-200100000;332300000;-17300000;-5870800000;;-7538700000;-111900000;607100000;-187800000;6210800000;-197700000;-1193300000
NTRS;407194;USD;2018;Q3;2018-09-30;2018-10-29;222442797;223860014;374500000;52000000;-9000000;82800000;953600000;1453900000;-15700000;3278500000;;1730700000;-99900000;278500000;-227900000;-2939600000;-59700000;185300000
NTRS;407194;USD;2018;Q4;2018-12-31;2019-02-26;220261786;221434374;409900000;47000000;-4000000;91700000;-85500000;459100000;-58600000;-62900000;;-1021100000;-139100000;162900000;-231900000;77800000;-7600000;-491800000
NTRS;407194;USD;2019;Q1;2019-03-31;2019-04-29;218236802;219270215;347100000;49100000;0;82000000;-184500000;293700000;-9100000;9215300000;;11607600000;-126700000;-158700000;-251900000;-11446400000;37600000;492500000
OMF;687414;USD;2013;Q3;2013-09-30;2013-11-22;100000000;100000000;-60951000;-37835000;162264000;135178000;950332000;1148988000;19732000;15445000;;-771455000;;225028000;;225028000;603967000;1206528000
OMF;687414;USD;2013;Q4;2013-12-31;2014-04-15;111668688;111668688;53647000;-15862000;187939000;13221000;-2443705000;-2204760000;20654000;-453000;;2561579000;;-1405942000;;-1174942000;-818453000;-1636576000
OMF;687414;USD;2014;Q1;2014-03-31;2014-05-15;114788439;115144858;68000000;-11000000;161000000;-119000000;977000000;1076000000;22000000;;;269000000;;-1012000000;;-1012000000;333000000;666000000
OMF;687414;USD;2014;Q2;2014-06-30;2014-08-11;114788439;115176021;103000000;-3000000;115000000;-100000000;713000000;828000000;19000000;;;-422000000;;-280000000;;-280000000;128000000;254000000
OMF;687414;USD;2014;Q3;2014-09-30;2014-11-14;114788439;115316314;462000000;-29000000;103000000;-459000000;649000000;726000000;10000000;;;648000000;;-293000000;0;-293000000;1079000000;2160000000
OMF;687414;USD;2014;Q4;2014-12-31;2015-03-16;114799583;115423299;-44000000;66000000;44000000;131000000;-2446000000;-2249000000;8000000;;;1346000000;;-187000000;0;-188000000;-1093000000;-2184000000
OMF;687414;USD;2015;Q1;2015-03-31;2015-05-08;115027470;115027470;31000000;18000000;87000000;-14000000;67000000;189000000;5000000;0;;161000000;;1190000000;;1192000000;1542000000;3084000000
OMF;687414;USD;2015;Q2;2015-06-30;2015-08-06;127411208;127411208;25000000;29000000;67000000;-9000000;-92000000;20000000;5000000;0;;168000000;;9000000;;985000000;1173000000;2346000000
OMF;687414;USD;2015;Q3;2015-09-30;2015-11-09;134452763;134452763;19000000;28000000;79000000;24000000;39000000;189000000;2000000;0;;264000000;;-178000000;0;-182000000;271000000;542000000
OMF;687414;USD;2015;Q4;2015-12-31;2016-02-29;134751279;134751279;-168000000;123000000;483000000;-184000000;89000000;343000000;2000000;0;;-2779000000;;-31000000;0;-31000000;-2469000000;-4936000000
OMF;687414;USD;2016;Q1;2016-03-31;2016-05-06;134694759;134907748;165000000;151000000;197000000;-204000000;107000000;416000000;;26000000;;-45000000;;-680000000;;-683000000;-310000000;-622000000
OMF;687414;USD;2016;Q2;2016-06-30;2016-08-05;134728465;134952992;26000000;150000000;214000000;59000000;-206000000;243000000;;0;;293000000;;-549000000;;-548000000;-12000000;-24000000
OMF;687414;USD;2016;Q3;2016-09-30;2016-11-08;134730251;134987134;25000000;115000000;263000000;-119000000;193000000;477000000;;0;;-159000000;;-392000000;;-394000000;-76000000;-152000000
OMF;687414;USD;2016;Q4;2016-12-31;2017-02-21;134720877;135695566;27000000;105000000;258000000;9000000;-213000000;186000000;1000000;0;;-195000000;;-57000000;;-60000000;-69000000;-138000000
OMF;687414;USD;2017;Q1;2017-03-31;2017-05-05;135218586;135573167;33000000;98000000;245000000;30000000;38000000;444000000;;;;-1000000;;-300000000;;-305000000;198000000;336000000
OMF;687414;USD;2017;Q2;2017-06-30;2017-08-04;135249610;135513427;42000000;84000000;236000000;-4000000;-62000000;296000000;;;;-853000000;;679000000;;679000000;62000000;184000000
OMF;687414;USD;2017;Q3;2017-09-30;2017-11-07;135253493;135711212;69000000;83000000;243000000;-27000000;132000000;500000000;;0;;-609000000;;188000000;;188000000;81000000;160000000
OMF;687414;USD;2017;Q4;2017-12-31;2018-02-21;135275567;135918158;39000000;63000000;231000000;73000000;-91000000;315000000;1000000;0;;-729000000;;413000000;;413000000;-3000000;-4000000
OMF;687414;USD;2018;Q1;2018-03-31;2018-05-03;135596279;135897296;124000000;67000000;254000000;27000000;83000000;555000000;;;;285000000;;833000000;;827000000;1001000000;2668000000
OMF;687414;USD;2018;Q2;2018-06-30;2018-08-03;135678914;135969045;7000000;64000000;260000000;119000000;-61000000;389000000;;;;-1525000000;;-870000000;;-873000000;-1343000000;-3352000000
OMF;687414;USD;2018;Q3;2018-09-30;2018-11-05;135756479;136107045;148000000;60000000;256000000;5000000;43000000;512000000;;;;-576000000;;659000000;;659000000;595000000;1190000000
OMF;687414;USD;2018;Q4;2018-12-31;2019-02-15;135780284;136163186;168000000;98000000;278000000;25000000;21000000;590000000;;;;-581000000;;-568000000;;-569000000;-560000000;-1120000000
